gen,mape,apt
[ 2 56 37 55],0.05777646030103401,0.942223539698966
[ 2 58 29 37],0.057783958612224025,0.942216041387776
[ 2 58 29 37],0.057783958612224025,0.9422160413877758
[ 2 56 30 38],0.057785917812806786,0.9422140821871932
[ 2 62 14 52],0.057809658077231964,0.942190341922768
[ 2 62 47 43],0.057812357671375124,0.9421876423286248
[ 2 63 38 43],0.05782176152023099,0.9421782384797691
[ 2 63 38 43],0.05782176152023099,0.9421782384797692
[ 2 61 54 50],0.05782743570005505,0.9421725642999449
[ 2 61 54 50],0.05782743570005505,0.9421725642999448
[ 2 54 44 52],0.057833269711179136,0.9421667302888208
[ 2 31 48 50],0.05784346449027064,0.9421565355097292
[ 2 56 17 38],0.0578542000627853,0.9421457999372148
[ 2 31 29 41],0.057862103327876474,0.9421378966721236
[ 2 48 31 52],0.057873403684853365,0.9421265963151466
[ 2 62 55 52],0.057986605482503124,0.9420133945174968
[ 2 63 62 16],0.05798765343066677,0.9420123465693332
[ 2 56 31 55],0.05800957212300323,0.9419904278769968
[ 2 31 56 55],0.05808901916655985,0.9419109808334402
[ 2 56 20 63],0.05810017209612674,0.9418998279038732
[ 2 58 54 18],0.058123217272220765,0.9418767827277792
[ 5  3 12],0.058605803963817274,0.9413941960361828
[ 2  3 43 46],0.05903405327858208,0.9409659467214179
[ 2  3 43 46],0.05903405327858208,0.940965946721418
[ 2 56 29 46],0.06011810990593192,0.939881890094068
[ 2 56 29 46],0.06011810990593192,0.9398818900940681
[ 2 58 54 46],0.06045134968506146,0.9395486503149384
[ 2 58 54 59],0.060602121297399926,0.9393978787026
[ 2 56 35 50],0.06146707140428605,0.938532928595714
[ 2 56 35 50],0.06146707140428605,0.9385329285957141
[ 2 15 58 52],0.062295057262868776,0.9377049427371312
[ 2 56 47 51],0.06245762904830698,0.937542370951693
[ 2 54 59 52],0.06268186895576967,0.9373181310442305
[ 2  3 39 38],0.06334066581119349,0.9366593341888064
[ 2 11 16 18],0.0644241590850974,0.9355758409149026
[ 2 15 54 50],0.06467076094511252,0.9353292390548876
[5 3 7],0.06474680576376507,0.935253194236235
[ 2 56 31 34],0.06485539734872024,0.9351446026512796
[ 2  3 21 55],0.06495144012596735,0.9350485598740328
[ 2  6  4 34],0.0649575915715591,0.9350424084284408
[ 2 54 13 41],0.06496999763602694,0.9350300023639729
[ 2 54 13 41],0.06496999763602694,0.9350300023639728
[ 2 49 29 38],0.06497103162331506,0.9350289683766848
[ 2 56 60 46],0.06499948681762502,0.935000513182375
[ 2 56 54 58],0.06524488342140042,0.9347551165785996
[ 2 49 57 63],0.06525196115518317,0.9347480388448168
[ 2 30 57 56],0.0652520269352018,0.9347479730647982
[ 2 49 41 49],0.06526111750093312,0.9347388824990668
[ 2 31 44 63],0.0652634895992223,0.9347365104007777
[ 2 43 62 21],0.06548781388270013,0.9345121861173
[ 2 43 62 21],0.06548781388270013,0.9345121861173001
[ 2 63 10 21],0.06605839961288608,0.933941600387114
[ 2 63 10 21],0.06605839961288608,0.9339416003871139
[ 2  5 52 19],0.06637236752490162,0.9336276324750984
[ 2 30 29 56],0.066726619790897,0.9332733802091031
[ 2 30 29 56],0.066726619790897,0.9332733802091032
[ 2 13 44 51],0.06682557159391468,0.9331744284060852
[ 2  3 15 49],0.06686844650957469,0.9331315534904252
[ 2  3 15 21],0.06697352680227238,0.9330264731977276
[4 5],0.06707084965169875,0.9329291503483012
[ 2 25 23 56],0.06718975624960301,0.932810243750397
[ 2 13 16 18],0.06737616322402533,0.9326238367759748
[ 2 31 54 38],0.06760216759826393,0.932397832401736
[ 2 31 54 38],0.06760216759826393,0.9323978324017359
[ 2 13 14 42],0.06763101205453306,0.9323689879454671
[ 2 13 14 42],0.06763101205453306,0.9323689879454672
[ 2 13 15 44],0.06768376306492539,0.9323162369350746
[ 2 13 15 41],0.06776681770428837,0.9322331822957116
[ 2 31 15 55],0.06790020964064529,0.9320997903593548
[ 2  3  3 38],0.06790141961810728,0.9320985803818927
[ 2 13 20 36],0.0679224806173181,0.932077519382682
[ 2 13 15 21],0.067934093467505,0.932065906532495
