gen,mape,dim
[ 2 13 44 51],0.06682557159391468,4
[ 2  3 15 49],0.06686844650957469,4
[ 2  3 15 21],0.06697352680227238,4
[4 5],0.06707084965169875,2
[ 2 25 23 56],0.06718975624960301,4
[ 2 13 16 18],0.06737616322402533,4
[ 2 31 54 38],0.06760216759826393,4
[ 2 13 14 42],0.06763101205453306,4
[ 2 13 15 44],0.06768376306492539,4
[ 2 13 15 41],0.06776681770428837,4
[ 2 31 15 55],0.06790020964064529,4
[ 2  3  3 38],0.06790141961810728,4
[ 2 13 20 36],0.0679224806173181,4
[ 2 13 15 21],0.067934093467505,4
[ 2 39 32 48],0.06794954254796243,4
[ 2 39 54 46],0.06795174113626719,4
[ 2 13 29 38],0.06795522999892624,4
[ 2 56 21 38],0.06796189479834777,4
[ 2 52 24 15],0.06796317452859647,4
[ 2 31 29 55],0.06796442426886545,4
[ 2 63 29 38],0.06796529982448282,4
[ 2 17 44 51],0.0679672533238553,4
[ 2 35 44 38],0.06796733964340823,4
[ 2 34 29 49],0.06796734207853593,4
[ 2 18 54 20],0.06796786852438542,4
[ 2 32 24 55],0.06796816643002683,4
[ 2 31 31 37],0.06796826480760157,4
[ 2 10 54 44],0.06796919088805507,4
[ 2 38 50 13],0.06796931912972001,4
[ 2 39 37 38],0.06797060652211177,4
[ 2 13 58 33],0.06797079225082296,4
[ 2 13 15 56],0.06797099791618097,4
[ 2 55 50 37],0.06797106878726787,4
[ 2 28 28 55],0.06797154262510831,4
[ 2 63 29 32],0.06797347038771039,4
[ 2 31 29 32],0.06797434660896688,4
[ 2 32 21 55],0.06797439410354493,4
[ 2 32 29 46],0.06797459246279593,4
[ 2 31 39 45],0.06797465953448009,4
[ 2 63 59 15],0.06797506627874783,4
[ 2 58 53 26],0.0679750886997871,4
[ 2 38 60 21],0.06797567182907847,4
[ 2 31 24 41],0.06797730147413111,4
[ 2 28 34 52],0.06797743410697392,4
[ 2 31 43 46],0.06797748408542227,4
[ 2 15 59 21],0.06797748425615888,4
[ 2 28 29 52],0.0679781807671311,4
[ 2 39 32 38],0.06797822421585413,4
[ 2 31 41 49],0.06797845922401526,4
[ 2 31 42 47],0.06797864624463079,4
[ 2 23 29 34],0.06797868945793621,4
[ 2 38 43 13],0.06797910331900334,4
[ 2 32 31 43],0.0679791489555631,4
[ 2 44 42 47],0.06797918702415169,4
[ 2 13 38 28],0.06798010482619914,4
[ 2 13 19 47],0.06798013271231203,4
[ 2 31 63 14],0.06798164421935331,4
[ 2 15 58 45],0.06798178773038628,4
[ 2 31 29 51],0.0679820122034919,4
[ 2 31 29 48],0.06798216417553145,4
[ 2 13 62 32],0.06798243696102503,4
[ 2 13 29 55],0.06798302426118573,4
[ 2 31 63 21],0.06798318666880586,4
[ 2  7 21 55],0.06798358238713502,4
[ 2 13 14 52],0.06798360522679385,4
[ 2 32 29 27],0.0679837469473527,4
[ 2 34 24 55],0.06798427546971374,4
[ 2 38 44 20],0.06798430395266912,4
[ 2 23 40 46],0.06798431315160708,4
[ 2 52 44 17],0.06798436604955772,4
[ 2 47 59 54],0.06798473828349992,4
[ 2 14 47 43],0.06798545696444609,4
[ 2 10 54 62],0.06798559216797254,4
[ 2 17 44 38],0.06798563491859537,4
[ 2 31 29 46],0.06798577438867835,4
[ 2 13 29 57],0.06798603142051908,4
[ 2 10 44 62],0.06798603411929527,4
[ 2 31 29 30],0.06798605689352546,4
[ 2 24 29 31],0.06798631111168854,4
[ 2 13 55 51],0.06798631125725588,4
[ 2 28 19 50],0.06798697283559063,4
[ 2 27 46 36],0.06798699096359946,4
[ 2 37 39 43],0.0679869986917618,4
[ 2 31 47 41],0.06798710836774602,4
[ 2 31 44 55],0.06798765626458794,4
[ 2 13 24 57],0.06798783491495053,4
[ 2 31 29 62],0.06798835383152269,4
[ 2 23 46 46],0.06798859460497962,4
[ 2 63 44 21],0.06798892280337719,4
[ 2 28 28 52],0.06798903161437897,4
[ 2 52 44 52],0.06799023447959703,4
[ 2 35 18 48],0.06799041615570436,4
[ 2 13 20 52],0.06799045365421788,4
[ 2 39 44 46],0.06799128132342301,4
[ 2 32 54 52],0.06799178079070288,4
[ 2 31 53 26],0.0679919779442818,4
[ 2 13 21 46],0.06799220105369143,4
[ 2 31 53 19],0.06799286152239158,4
[ 2 63 45 22],0.06799340697743286,4
[ 2 31 29 36],0.06799351323689369,4
[ 2 31 24 61],0.06799364307128687,4
[ 2 31 43 50],0.06799387470768221,4
