Unnamed: 0,Ano Mês,Consumo,Ano,Mês,Dias com Precipitação,Precipitação,Pressão,Temperatura,Vento Máx,Vento Méd,Consumo Médio,Rlin,Consumo_fuzzy,ConsumoMLP,ConsumoMLP2
29,2015-06,239707.0,2015,6,12.0,152.29729729729732,982.203095837838,15.1874442972973,8.472972972972974,2.4356631081081086,321283.6438333333,312857.5714089331,267384.99652292085,,
30,2015-07,233674.0,2015,7,16.89189189189189,212.2594594594594,981.4603742972972,14.656566297297296,8.364864864864865,2.425949324324324,321283.6438333333,314153.89024345623,267072.3155408733,,
31,2015-08,238529.0,2015,8,9.891891891891893,109.35135135135135,979.5703409459461,18.450122243243246,9.332432432432432,2.965225648648649,321283.6438333333,315450.2090779793,268494.9948913937,,
32,2015-09,238691.0,2015,9,12.729729729729732,169.84864864864858,978.411057162162,16.563277864864865,9.778378378378378,2.8149591621621624,321283.6438333333,316746.5279125024,266301.63487977197,,
33,2015-10,229201.0,2015,10,15.0,260.71891891891886,978.7471551891894,17.848002918918922,10.456756756756755,3.1884279729729728,321283.6438333333,318042.8467470256,267695.67831022525,,
34,2015-11,239976.0,2015,11,13.864864864864865,156.38378378378374,976.4282004594594,19.559457891891896,9.545945945945947,3.0971652702702714,321283.6438333333,319339.1655815487,288986.52180739236,,
35,2015-12,289424.0,2015,12,14.594594594594595,273.90810810810814,975.949657162162,21.951360756756763,10.013513513513512,2.8317680810810812,321283.6438333333,320635.4844160718,349508.79486861115,,
36,2016-01,420127.0,2016,1,9.18918918918919,122.91351351351345,975.9885872702703,23.876903459459452,8.481081081081081,2.7879822702702706,321283.6438333333,321931.8032505949,433139.4752450492,,
37,2016-02,509072.0,2016,2,11.648648648648651,143.0378378378378,976.2597105945946,23.86717783783784,8.237837837837837,2.4691830540540542,321283.6438333333,323228.122085118,434878.9421329896,,
38,2016-03,450648.0,2016,3,14.702702702702705,217.3189189189189,978.9443694324324,21.04801010810811,8.883783783783787,2.678874729729729,321283.6438333333,324524.44091964123,334493.5907986805,,
39,2016-04,351079.0,2016,4,15.135135135135135,209.90810810810814,978.0145859189188,21.08445167567568,8.94594594594595,2.636531108108109,321283.6438333333,325820.75975416426,335924.95884310023,,
40,2016-05,323734.0,2016,5,13.378378378378383,98.03783783783786,981.6290396216216,15.448226810810812,7.81081081081081,2.3657934054054053,321283.6438333333,327117.0785886874,267143.34756524704,,
41,2016-06,288857.0,2016,6,10.91891891891892,54.394594594594594,982.9265395405406,13.337115189189188,7.6648648648648665,2.101845459459459,321283.6438333333,328413.3974232105,267689.287898088,,
42,2016-07,278434.0,2016,7,12.351351351351349,133.65405405405406,981.4198442432436,14.095825864864864,9.086486486486486,2.5495098918918933,321283.6438333333,329709.71625773364,267055.2444483619,,
43,2016-08,275579.0,2016,8,12.08108108108108,124.05945945945946,981.8377224594597,14.722924054054054,8.997297297297296,2.5210214594594595,321283.6438333333,331006.03509225673,267231.2122937967,,
44,2016-09,282156.0,2016,9,9.864864864864863,65.11891891891894,982.8197824594597,14.607562567567573,9.786486486486483,2.809199135135134,321283.6438333333,332302.3539267799,267644.4012312409,,
45,2016-10,274818.0,2016,10,13.270270270270268,230.05405405405412,978.934109108108,17.783095729729727,10.751351351351351,3.2746110540540534,321283.6438333333,333598.672761303,267613.6485474845,,
46,2016-11,294845.0,2016,11,10.108108108108107,121.44324324324327,978.0452607567564,19.97906032432433,10.267567567567568,2.9073900540540554,321283.6438333333,334894.9915958261,300117.32243304746,,
47,2016-12,424656.0,2016,12,12.810810810810812,132.48108108108107,976.0898091621623,22.646227,8.959459459459461,2.8908565135135142,321283.6438333333,336191.3104303493,432785.22479439294,,
48,2017-01,494091.0,2017,1,13.513513513513516,159.54054054054052,976.8660148648648,23.299496567567573,8.670270270270269,2.7114962432432432,321283.6438333333,337487.62926487235,438851.7404551784,,
49,2017-02,491306.0,2017,2,13.135135135135135,146.1621621621622,976.6182024324324,23.59375491891893,8.372972972972972,2.4852782432432434,321283.6438333333,338783.9480993955,437232.1340094999,,
50,2017-03,448735.0,2017,3,11.972972972972975,167.3945945945946,978.7714838108107,21.751680135135132,8.816216216216215,2.7905764054054054,321283.6438333333,340080.2669339186,367779.74830178893,,
51,2017-04,374567.0,2017,4,12.567567567567568,198.01081081081082,980.3484906486486,18.461208081081086,9.094594594594595,2.8850411351351357,321283.6438333333,341376.5857684417,268510.2247860896,,
52,2017-05,318487.0,2017,5,19.081081081081077,290.40540540540536,980.6694341351352,16.858795702702707,10.048648648648648,2.855272864864865,321283.6438333333,342672.9046029649,266739.02131430386,,
53,2017-06,291818.0,2017,6,13.810810810810812,147.1081081081081,981.835534,14.978623675675678,9.137837837837841,2.7273489189189197,321283.6438333333,343969.223437488,267230.29097204714,,
54,2017-07,284224.0,2017,7,7.162162162162162,52.35675675675675,985.4235302972972,15.536282621621625,8.310810810810809,2.798570162162162,321283.6438333333,345265.54227201105,268737.48958537856,,
55,2017-08,288393.0,2017,8,12.783783783783786,160.1945945945946,981.309838324324,16.014704513513514,9.91351351351351,3.1404731891891893,321283.6438333333,346561.8611065342,267008.90612620284,,
56,2017-09,279987.0,2017,9,12.243243243243244,135.29729729729732,981.7225165945944,18.830798621621625,8.845945945945944,3.105690513513513,321283.6438333333,347858.1799410573,272446.63688030426,,
57,2017-10,279534.0,2017,10,15.297297297297295,224.96216216216217,977.5373463783786,18.553542189189194,10.8945945945946,3.275552162162162,321283.6438333333,349154.4987755805,268717.059027858,,
58,2017-11,291988.0,2017,11,10.864864864864865,130.02162162162165,976.8082118918919,19.691036567567565,9.543243243243245,3.052524810810811,321283.6438333333,350450.8176101036,292409.5649933034,,
59,2017-12,404321.0,2017,12,10.432432432432432,101.49729729729731,975.7468720540539,23.144829189189192,9.872972972972974,3.0268504864864854,321283.6438333333,351747.1364446267,431447.2580377228,,
60,2018-01,539692.068,2018,1,14.270270270270268,165.43783783783786,976.2101415405406,23.200363405405408,8.521621621621621,2.9334079999999987,321283.6438333333,353043.45527914976,434407.8930543685,527642.469034782,527642.469034782
61,2018-02,509496.94100000005,2018,2,8.45945945945946,81.31891891891891,977.6064794864864,22.463248594594592,8.383783783783784,2.730758675675676,321283.6438333333,354339.7741136729,349554.8902008093,528432.7473722983,528432.7473722983
